action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,0,0.6,action = 4,81,4,0.45678,0.43182,0.41357,0.40246,0.51873,0.11628143279699321,0.18749806112686518,0.13258121677262855,0.1397528655553014,0.0632056395350218,0.4800362865593987,0.469319612225373,0.44008624335452573,0.43041057311106024,0.5313711279070044
4,0,0.6,action = 4,82,4,0.4505,0.45045,0.44426,0.44454,0.52492,0.11644365897433734,0.18775964281694588,0.1327661830520018,0.13994783712218514,0.0625866032380983,0.47378873179486747,0.4880019285633892,0.47081323661040037,0.472529567424437,0.5374373206476197
4,1,-0.4,action = 4,83,4,0.4564,0.42586,0.41976,0.41381,0.50624,0.11660369711371872,0.18801769640399402,0.1329486545845487,0.14014017899516273,0.061987654080605185,0.47972073942274374,0.4634635392807988,0.44634973091690977,0.4418380357990326,0.5186375308161211
4,1,-0.4,action = 4,84,4,0.45021,0.43792,0.42572,0.41953,0.49376,0.11676160315295069,0.18827231208496784,0.1331286951491818,0.14032995840310725,0.061407712150743254,0.4735623206305901,0.4755744624169935,0.4523457390298363,0.4475959916806215,0.5060415424301486
4,1,-0.4,action = 4,85,4,0.45655,0.45021,0.42563,0.43182,0.52492,0.1169174309445497,0.1885235766943875,0.13330636614721,0.1405172400686775,0.06084577724965913,0.47993348618890996,0.4879147153388775,0.452291273229442,0.45992344801373547,0.5370891554499319
4,0,0.6,action = 4,86,4,0.45645,0.43196,0.41412,0.4383,0.52492,0.11707123235725592,0.188771573868032,0.13348172671808925,0.14070208633033024,0.060300921488902606,0.4798642464714512,0.4697143147736064,0.44081634534361785,0.46644041726606605,0.5369801842977806
4,1,-0.4,action = 4,87,4,0.45697,0.44411,0.42572,0.46265,0.55589,0.11722305737148223,0.18901638419684597,0.13365483384825155,0.14088455725703566,0.05977228271012001,0.4804146114742964,0.4819132768393692,0.4524509667696503,0.4908269114514071,0.567844456542024
4,1,-0.4,action = 4,88,4,0.4383,0.43806,0.43182,0.4321,0.51868,0.11737295416912069,0.18925808537174815,0.13382574247349976,0.14106471075621133,0.05925905862129203,0.46177459083382416,0.47591161707434965,0.45858514849469995,0.46031294215124224,0.5305318117242585
4,0,0.6,action = 4,89,4,0.44411,0.44411,0.43182,0.47513,0.54979,0.11752096921810087,0.18949675231997737,0.13399450557541914,0.14124260267534858,0.05876050155918451,0.4676141938436202,0.4820093504639955,0.4586189011150838,0.5033785205350697,0.5615421003118369
4,1,-0.4,action = 4,90,4,0.46265,0.44426,0.44402,0.47518,0.53735,0.11766714735206221,0.1897324573335606,0.13416117427221774,0.1414182868977669,0.058275913800560554,0.48618342947041243,0.48220649146671213,0.47085223485444355,0.5034636573795533,0.5490051827601121
4,1,-0.4,action = 4,91,4,0.46903,0.46279,0.43234,0.46918,0.54941,0.11781153184547431,0.18996527019044046,0.13432579790437657,0.14159181543289698,0.05780464335554042,0.49259230636909485,0.5007830540380881,0.4592051595808753,0.49749836308657935,0.560970928671108
4,1,-0.4,action = 4,92,4,0.45645,0.45035,0.40803,0.4566,0.53735,0.11795416448451246,0.19019525826875863,0.13448842411546036,0.14176323850146286,0.05734608018564802,0.4800408328969025,0.4883890516537517,0.4349276848230921,0.48495264770029256,0.5488192160371296
